"","created_at","screen_name","text","source","is_retweet","favorite_count","retweet_count","followers_count","city","datetime","date2"
"947",2019-03-03 17:00:51,"mansuryavas06","Ankara’mızın temiz havası problemli, musluktan su içilmiyor, ulaşımımız sorunlu. Biz Ankara'nın köylerine kadar bütün sorunlarını biliyor, çözümlerimizle geliyoruz. 

Özlem Gürses ile yaptığımız röportaja aşağıdaki linkten ulaşabilirsiniz: 

https://t.co/MS2rKOg4K4 @OzlemGurses https://t.co/vgjVDE8aY1","Twitter for iPhone",FALSE,1543,249,1279698,"Ankara",2019-03-03 17:00:51,2019-03-03
"948",2019-03-03 15:45:49,"mansuryavas06","Ankara’mızda vatandaşlarımızla buluşmaya ve istişare etmeye devam ediyoruz. Bugün Temelli’de hemşehilerimizle birlikteydik. Temelli 31 Mart’ta değişime inanmış, biz de bu inancı boşa çıkarmayacağız. 31 Mart’tan sonra bu güzel hayali birlikte yaşayacağız. #HakYeriniBulacak https://t.co/trPQrD37iJ","Twitter for iPhone",FALSE,3315,476,1279698,"Ankara",2019-03-03 15:45:49,2019-03-03
"949",2019-03-03 13:18:24,"mansuryavas06","Bugün Keçiören’de iki farklı noktada hemşehrilerimize seslendik. Aynı zamanda Seçim Koordinasyon Merkezi’mizin açılışını gerçekleştirdik.

Bu büyük coşku için hepinize ayrı ayrı teşekkür ediyoruz. Biz sözümüzü verdik. Sizinle birlikte, bu kente huzur ve bereketi getireceğiz. https://t.co/wvsrC1dzni","Twitter for iPhone",FALSE,1944,261,1279698,"Ankara",2019-03-03 13:18:24,2019-03-03
"950",2019-03-03 11:58:05,"mansuryavas06","Bugün Keçiören’de hemşehrilerimiz ile buluştuk. Keçiörenli vatandaşlarımızın coşkusu 31 Mart’ta değişime hazır olduklarını gösteriyor. 

Bu coşkunun, inancın, umudun karşılığını 5 yıl boyunca hizmetlerimizle vereceğiz. Huzurlu ve bereketli bir Ankara için 28 gün kaldı. https://t.co/gxTkL0TF9A","Twitter for iPhone",FALSE,1813,274,1279698,"Ankara",2019-03-03 11:58:05,2019-03-03
"951",2019-03-03 08:45:03,"mansuryavas06","Ankara’nın 25 ilçesinde vatandaşlarımızla buluşmaya devam ediyoruz. Bütün projelerimiz halkımızın refahı için. Kahramankazan bunu biliyor ve kesinlikle değişime kararlı. 

Biz Ankara için, Ankaralı için bu göreve talibiz. Bu yola beraber çıktık ve sizinle başaracağız. https://t.co/5HspJ4dzyT","Twitter for iPhone",FALSE,2571,441,1279698,"Ankara",2019-03-03 08:45:03,2019-03-03
"952",2019-03-03 07:22:33,"mansuryavas06","Ölçülebilen, denetlenebilen, şeffaf ve sürdürülebilir projeler ile dertlere derman belediyecilik dönemi başlıyor. 

Ankara’da öncelikle çevre ilçelerden başlayarak en yoksulu, en muhtacı gözeteceğimize söz veriyoruz. 

Huzurlu ve bereketli bir Ankara için 34 gün kaldı. https://t.co/aHGbVtNWAq","Twitter for iPhone",TRUE,0,574,1279698,"Ankara",2019-03-03 07:22:33,2019-03-03
"953",2019-03-02 20:51:27,"mansuryavas06","Biz işe vicdanımızla bakıyoruz onlar artık cüzdanlarıyla bakıyor diyen @mansuryavas06'dan EYT sorununa merhem olacak çözüm; Bu işi 75 TL ile çözeceğiz! https://t.co/hDdvrSKgMc","Twitter for iPhone",TRUE,0,1045,1279698,"Ankara",2019-03-02 20:51:27,2019-03-02
"954",2019-03-02 20:39:22,"mansuryavas06","Sincan’dan Çankaya’ya, Ankara’mızın her köşesinde vatandaşlarımızla kucaklaşıyoruz. 

Bu coşkunun, inancın, umudun karşılığını 5 yıl boyunca hizmetlerimizle vereceğiz. Huzurlu, bereketli bir Ankara için 29 gün kaldı.   

#YavaşYavaşAnkara https://t.co/9Sd4HxStEg","Twitter for iPhone",FALSE,3648,486,1279698,"Ankara",2019-03-02 20:39:22,2019-03-02
"955",2019-03-02 15:58:26,"mansuryavas06","AŞTİ’de esnafımızı ziyaret ettik, sorunlarını dinledik ve çözüm önerilerimizi istişare ettik. 

Görüştüğümüz her kesim Ankara’nın değişime ihtiyacı olduğunu belirtiyor. Biz Ankara için, Ankaralı için bu göreve talibiz. Bu yola beraber çıktık ve sizinle başaracağız. https://t.co/wXHz0uqw5e","Twitter for iPhone",FALSE,2933,427,1279698,"Ankara",2019-03-02 15:58:26,2019-03-02
"956",2019-03-02 13:37:13,"mansuryavas06","Kazım Karabekir Seçim Koordinasyon Merkezi’mizde Kırıkkaleli hemşehrilerimizle buluştuk. Sorunlarını dinledik, projelerimizi anlattık. 

Tüm uygulamalarımız, projelerimiz Ankara’da yaşayan vatandaşlarımızın refahı için. Ankara’mız değişime, huzura ve berekete hazır. https://t.co/d9unHhDTaH","Twitter for iPhone",FALSE,917,138,1279698,"Ankara",2019-03-02 13:37:13,2019-03-02
"957",2019-03-02 12:37:11,"mansuryavas06","Sincan’da hemşehrilerimizle buluşmaya devam ediyoruz. 

Ankara’nın gittiğimiz her köşesinde vatandaşlarımızın kararını vermiş olduğunu görüyoruz. Huzurun ve bereketin hakim olacağı Ankara’ya 29 gün kaldı.

#YavaşYavaşAnkara https://t.co/6Hr8bzuTj7","Twitter for iPhone",FALSE,2405,363,1279698,"Ankara",2019-03-02 12:37:11,2019-03-02
"958",2019-03-02 10:49:25,"mansuryavas06","Bugün Sincan Yenikent’te vatandaşlarımızı ziyaret ettik, esnafımızla görüştük. Ardından Zir Sosyal Yardımlaşma ve Dayanışma Derneği’ni ziyarete geldik. Bizi bu kadar güzel bir şekilde karşılayan tüm Yenikentlilere teşekkür ediyoruz. Sincan hak ettiği değeri görecek. https://t.co/serihauNN8","Twitter for iPhone",FALSE,905,126,1279698,"Ankara",2019-03-02 10:49:25,2019-03-02
"959",2019-03-02 10:36:09,"mansuryavas06","#ŞeffaflıkTaahhütnamesi'ni imzaladığımız gibi ""Aile Mal Bildirimi""ni de Web sayfamızdan yayınladık. https://t.co/9wbi49Irxg","Twitter for Android",FALSE,2287,602,1279698,"Ankara",2019-03-02 10:36:09,2019-03-02
"960",2019-03-02 07:32:09,"mansuryavas06","Ankara’yı yalnızca ülkemizin değil, bölgenin en önemli “Bilişim Şehri” haline getireceğiz. 

Ortak alanlarda gençlere özel kablosuz internet erişimi, yazılım ve içerik geliştirme kulüpleri, akıllı şehir altyapısı ile Ankara başkente yakışır bir teknolojiye sahip olacak. https://t.co/Gazqg3rAuK","Twitter for iPhone",TRUE,0,821,1279698,"Ankara",2019-03-02 07:32:09,2019-03-02
"961",2019-03-02 05:33:05,"mansuryavas06","2 Ankaragücü sevdalısı genç kardeşimizin, Antalya deplasmanından dönerken taraftar otobüsünün kaza yapması sonucu vefatını büyük üzüntüyle öğrendim.

Genç kardeşlerimize Allah'tan rahmet, ailelerine ve Ankaragücü camiasına başsağlığı, yaralı kardeşlerimize acil şifalar diliyorum. https://t.co/fH6xpjCPRl","Twitter for iPhone",FALSE,3674,456,1279698,"Ankara",2019-03-02 05:33:05,2019-03-02
